
S0066,3PARA RAT,,3PARA RAT is a remote access tool (RAT) programmed in C++ that has been used by Putter Panda.
S0315,DualToy,,DualToy is Windows malware that installs malicious applications onto Android and iOS devices connected over USB.
S0038,Duqu,,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
S0062,DustySky,NeD Worm,DustySky is multi-stage malware written in .NET that has been used by Molerats since May 2015.
S0420,Dvmap,,Dvmap is rooting malware that injects malicious code into system runtime libraries. It is credited with being the first malware that performs this type of code injection.
S0024,Dyre,"Dyzap, Dyreza",Dyre is a banking Trojan that has been used for financial gain.
S0377,Ebury,,"Ebury is an SSH backdoor targeting Linux operating systems. Attackers require root-level access, which allows them to replace SSH binaries (ssh, sshd, ssh-add, etc) or modify a shared library used by OpenSSH (libkeyutils)."
S0593,ECCENTRICBANDWAGON,,ECCENTRICBANDWAGON is a remote access Trojan (RAT) used by North Korean cyber actors that was first identified in August 2020. It is a reconnaissance tool--with keylogging and screen capture functionality--used for information gathering on compromised systems.
S0624,Ecipekac,"HEAVYHAND, SigLoader, DESLoader","Ecipekac is a multi-layer loader that has been used by menuPass since at least 2019 including use as a loader for P8RAT, SodaMaster, and FYAnti."
S0554,Egregor,,"Egregor is a Ransomware-as-a-Service (RaaS) tool that was first observed in September 2020. Researchers have noted code similarities between Egregor and Sekhmet ransomware, as well as Maze ransomware."
S0605,EKANS,SNAKEHOSE,"EKANS is ransomware variant written in Golang that first appeared in mid-December 2019 and has been used against multiple sectors, including energy, healthcare, and automotive manufacturing, which in some cases resulted in significant operational disruptions. EKANS has used a hard-coded kill-list of processes, including some associated with common ICS software platforms (e.g., GE Proficy, Honeywell HMIWeb, etc), similar to those defined in MegaCortex."
S0081,Elise,"BKDR_ESILE, Page","Elise is a custom backdoor Trojan that appears to be used exclusively by Lotus Blossom. It is part of a larger group oftools referred to as LStudio, ST Group, and APT0LSTU."
S0064,ELMER,,"ELMER is a non-persistent, proxy-aware HTTP backdoor written in Delphi that has been used by APT16."
S0082,Emissary,,"Emissary is a Trojan that has been used by Lotus Blossom. It shares code with Elise, with both Trojans being part of a malware group referred to as LStudio."
S0367,Emotet,Geodo,Emotet is a modular malware variant which is primarily used as a downloader for other malware variants such as TrickBot and IcedID. Emotet first emerged in June 2014 and has been primarily used to target the banking sector.
S0363,Empire,"EmPyre, PowerShell Empire","Empire is an open source, cross-platform remote administration and post-exploitation framework that is publicly available on GitHub. While the tool itself is primarily written in Python, the post-exploitation agents are written in pure PowerShell for Windows and Python for Linux/macOS. Empire was one of five tools singled out by a joint report on public hacking tools being widely used by adversaries."
S0634,EnvyScout,,EnvyScout is a dropper that has been used by APT29 since at least 2021.
S0091,Epic,"Tavdig, Wipbot, WorldCupSec, TadjMakhal",Epic is a backdoor that has been used by Turla.
S0404,esentutl,esentutl.exe,esentutl is a command-line tool that provides database utilities for the Windows Extensible Storage Engine.
S0507,eSurv,,eSurv is mobile surveillanceware designed for the lawful intercept market that was developed over the course of many years.
S0478,EventBot,,"EventBot is an Android banking trojan and information stealer that abuses Android’s accessibility service to steal data from various applications. EventBot was designed to target over 200 different banking and financial applications, the majority of which are European bank and cryptocurrency exchange applications."
S0396,EvilBunny,,EvilBunny is a C++ malware sample observed since 2011 that was designed to be a execution platform for Lua scripts.
S0152,EvilGrab,,EvilGrab is a malware family with common reconnaissance capabilities. It has been deployed by menuPass via malicious Microsoft Office documents as part of spearphishing campaigns.
S0568,EVILNUM,,EVILNUM is fully capable backdoor that was first identified in 2018. EVILNUM is used by the APT group Evilnum which has the same name.
S0401,Exaramel for Linux,,Exaramel for Linux is a backdoor written in the Go Programming Language and compiled as a 64-bit ELF binary. The Windows version is tracked separately under Exaramel for Windows.
S0343,Exaramel for Windows,,Exaramel for Windows is a backdoor used for targeting Windows systems. The Linux version is tracked separately under Exaramel for Linux.
S0522,Exobot,Marcher,"Exobot is Android banking malware, primarily targeting financial institutions in Germany, Austria, and France."
S0405,Exodus,"Exodus One, Exodus Two",Exodus is Android spyware deployed in two distinct stages named Exodus One (dropper) and Exodus Two (payload).
S0361,Expand,,Expand is a Windows utility used to expand one or more compressed CAB files. It has been used by BBSRAT to decompress a CAB file into executable content.
S0569,Explosive,,Explosive is a custom-made remote access tool used by the group Volatile Cedar. It was first identified in the wild in 2015.
S0076,FakeM,,FakeM is a shellcode-based Windows backdoor that has been used by Scarlet Mimic.
S0509,FakeSpy,,FakeSpy is Android spyware that has been operated by the Chinese threat actor behind the Roaming Mantis campaigns.
S0181,FALLCHILL,,"FALLCHILL is a RAT that has been used by Lazarus Group since at least 2016 to target the aerospace, telecommunications, and finance industries. It is usually dropped by other Lazarus Group malware or delivered when a victim unknowingly visits a compromised website."
S0512,FatDuke,,FatDuke is a backdoor used by APT29 since at least 2016.
S0171,Felismus,,Felismus is a modular backdoor that has been used by Sowbug.
S0267,FELIXROOT,GreyEnergy mini,FELIXROOT is a backdoor that has been used to target Ukrainian victims.
S0679,Ferocious,,Ferocious is a first stage implant composed of VBS and PowerShell scripts that has been used by WIRTE since at least 2021.
S0120,Fgdump,,Fgdump is a Windows password hash dumper.
S0355,Final1stspy,,Final1stspy is a dropper family that has been used to deliver DOGCALL.
S0182,FinFisher,FinSpy,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations. It is heavily obfuscated and uses multiple anti-analysis techniques. It has other variants including Wingbird.
S0618,FIVEHANDS,,"FIVEHANDS is a customized version of DEATHRANSOM ransomware written in C++. FIVEHANDS has been used since at least 2021, including in Ransomware-as-a-Service (RaaS) campaigns, sometimes along with SombRAT."
S0696,Flagpro,,"Flagpro is a Windows-based, first-stage downloader that has been used by BlackTech since at least October 2020. It has primarily been used against defense, media, and communications companies in Japan."
S0143,Flame,"Flamer, sKyWIper","Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries."
S0036,FLASHFLOOD,,FLASHFLOOD is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.
S0381,FlawedAmmyy,,"FlawedAmmyy is a remote access tool (RAT) that was first seen in early 2016. The code for FlawedAmmyy was based on leaked source code for a version of Ammyy Admin, a remote access software."
S0383,FlawedGrace,,FlawedGrace is a fully featured remote access tool (RAT) written in C++ that was first observed in late 2017.
S0408,FlexiSpy,,"FlexiSpy is sophisticated surveillanceware for iOS and Android. Publicly-available, comprehensive analysis has only been found for the Android version.FlexiSpy markets itself as a parental control and employee monitoring application."
S0173,FLIPSIDE,,FLIPSIDE is a simple tool similar to Plink that is used by FIN5 to maintain access to victims.
S1067,FluBot,,FluBot is a multi-purpose mobile banking malware that was first observed in Spain in late 2020. It primarily spread through European countries using a variety of SMS phishing messages in multiple languages.
S0661,FoggyWeb,,FoggyWeb is a passive and highly-targeted backdoor capable of remotely exfiltrating sensitive information from a compromised Active Directory Federated Services (AD FS) server. It has been used by APT29 since at least early April 2021.
S0193,Forfiles,,"Forfiles is a Windows utility commonly used in batch jobs to execute commands on one or more selected files or directories (ex: list all directories in a drive, read the first line of all files created yesterday, etc.). Forfiles can be executed from either the command line, Run window, or batch files/scripts."
S0503,FrameworkPOS,Trinity,FrameworkPOS is a point of sale (POS) malware used by FIN6 to steal payment card data from sytems that run physical POS devices.
S0577,FrozenCell,,"FrozenCell is the mobile component of a family of surveillanceware, with a corresponding desktop component known as KasperAgent and Micropsia."
S0277,FruitFly,,FruitFly is designed to spy on mac users  .
S0095,ftp,ftp.exe,ftp is a utility commonly available with operating systems to transfer information over the File Transfer Protocol (FTP). Adversaries can use it to transfer other tools onto a system or to exfiltrate data.
S1044,FunnyDream,,"FunnyDream is a backdoor with multiple components that was used during the FunnyDream campaign since at least 2019, primarily for execution and exfiltration."
S0628,FYAnti,DILLJUICE stage2,"FYAnti is a loader that has been used by menuPass since at least 2020, including to deploy QuasarRAT."
S0410,Fysbis,,Fysbis is a Linux-based backdoor used by APT28 that dates back to at least 2014.
S0168,Gazer,WhiteBear,Gazer is a backdoor used by Turla since at least 2016.
S0666,Gelsemium,"Gelsevirine, Gelsenicine, Gelsemine","Gelsemium is a modular malware comprised of a dropper (Gelsemine), a loader (Gelsenicine), and main (Gelsevirine) plug-ins written using the Microsoft Foundation Class (MFC) framework. Gelsemium has been used by the Gelsemium group since at least 2014."
S0049,GeminiDuke,,GeminiDuke is malware that was used by APT29 from 2009 to 2012.
S0460,Get2,,"Get2 is a downloader written in C++ that has been used by TA505 to deliver FlawedGrace, FlawedAmmyy, Snatch and SDBbot."
S0032,gh0st RAT,"Mydoor, Moudoor",gh0st RAT is a remote access tool (RAT). The source code is public and it has been used by multiple groups.
S0423,Ginp,,Ginp is an Android banking trojan that has been used to target Spanish banks. Some of the code was taken directly from Anubis.
S0026,GLOOXMAIL,Trojan.GTALK,GLOOXMAIL is malware used by APT1 that mimics legitimate Jabber/XMPP traffic.
S0249,Gold Dragon,,"Gold Dragon is a Korean-language, data gathering implant that was first observed in the wild in South Korea in July 2017. Gold Dragon was used along with Brave Prince and RunningRAT in operations targeting organizations associated with the 2018 Pyeongchang Winter Olympics."
S0535,Golden Cup,,Golden Cup is Android spyware that has been used to target World Cup fans.
S0551,GoldenEagle,,"GoldenEagle is a piece of Android malware that has been used in targeting of Uyghurs, Muslims, Tibetans, individuals in Turkey, and individuals in China. Samples have been found as early as 2012."
S0493,GoldenSpy,,"GoldenSpy is a backdoor malware which has been packaged with legitimate tax preparation software. GoldenSpy was discovered targeting organizations in China, being delivered with the ""Intelligent Tax"" software suite which is produced by the Golden Tax Department of Aisino Credit Information Co. and required to pay local taxes."
S0597,GoldFinder,,"GoldFinder is a custom HTTP tracer tool written in Go that logs the route a packet takes between a compromised network and a C2 server. It can be used to inform  threat actors of potential points of discovery or logging of their actions, including C2 related to other malware. GoldFinder was discovered in early 2021 during an investigation into the SolarWinds Compromise by APT29."
S0588,GoldMax,SUNSHUTTLE,"GoldMax is a second-stage C2 backdoor written in Go with Windows and Linux variants that are nearly identical in functionality. GoldMax was discovered in early 2021 during the investigation into the SolarWinds Compromise, and has likely been used by APT29 since at least mid-2019. GoldMax uses multiple defense evasion techniques, including avoiding virtualization execution and masking malicious traffic."
S0421,GolfSpy,,GolfSpy is Android spyware deployed by the group Bouncing Golf.
S0290,Gooligan,Ghost Push,Gooligan is a malware family that runs privilege escalation exploits on Android devices and then uses its escalated privileges to steal authentication tokens that can be used to access data from many Google applications. Gooligan has been described as part of the Ghost Push Android malware family.
S0477,Goopy,,Goopy is a Windows backdoor and Trojan used by APT32 and shares several similarities to another backdoor used by the group (Denis). Goopy is named for its impersonation of the legitimate Google Updater executable.
S0536,GPlayed,,GPlayed is an Android trojan with a broad range of capabilities.
S0531,Grandoreiro,,"Grandoreiro is a banking trojan written in Delphi that was first observed in 2016 and uses a Malware-as-a-Service (MaaS) business model. Grandoreiro has confirmed victims in Brazil, Mexico, Portugal, and Spain."
S0237,GravityRAT,,"GravityRAT is a remote access tool (RAT) and has been in ongoing development since 2016. The actor behind the tool remains unknown, but two usernames have been recovered that link to the author, which are ""TheMartian"" and ""The Invincible."" According to the National Computer Emergency Response Team (CERT) of India, the malware has been identified in attacks against organization and entities in India."
S0690,Green Lambert,,"Green Lambert is a modular backdoor that security researchers assess has been used by an advanced threat group referred to as Longhorn and The Lamberts. First reported in 2017, the Windows variant of Green Lambert may have been used as early as 2008; a macOS version was uploaded to a multiscanner service in September 2014."
S0342,GreyEnergy,,GreyEnergy is a backdoor written in C and compiled in Visual Studio. GreyEnergy shares similarities with the BlackEnergy malware and is thought to be the successor of it.
S0417,GRIFFON,,GRIFFON is a JavaScript backdoor used by FIN7.
S0632,GrimAgent,,GrimAgent is a backdoor that has been used before the deployment of Ryuk ransomware since at least 2020; it is likely used by FIN6 and Wizard Spider.
S0008,gsecdump,,gsecdump is a publicly-available credential dumper used to obtain password hashes and LSA secrets from Windows operating systems.
S0561,GuLoader,,"GuLoader is a file downloader that has been used since at least December 2019 to distribute a variety of remote administration tool (RAT) malware, including NETWIRE, Agent Tesla, NanoCore, FormBook, and Parallax RAT."
S0406,Gustuff,,Gustuff is mobile malware designed to steal users' banking and virtual currency credentials.
S0132,H1N1,,"H1N1 is a malware variant that has been distributed via a campaign using VBA macros to infect victims. Although it initially had only loader capabilities, it has evolved to include information-stealing functionality."
S0047,Hacking Team UEFI Rootkit,,Hacking Team UEFI Rootkit is a rootkit developed by the company Hacking Team as a method of persistence for remote access software.
S0151,HALFBAKED,,HALFBAKED is a malware family consisting of multiple components intended to establish persistence in victim networks.
S0037,HAMMERTOSS,"HammerDuke, NetDuke",HAMMERTOSS is a backdoor that was used by APT29 in 2015.
S0499,Hancitor,Chanitor,Hancitor is a downloader that has been used by Pony and other information stealing malware.
S0214,HAPPYWORK,,HAPPYWORK is a downloader used by APT37 to target South Korean government and financial victims in November 2016.
S0246,HARDRAIN,,HARDRAIN is a Trojan malware variant reportedly used by the North Korean government.
S0224,Havij,,Havij is an automatic SQL Injection tool distributed by the Iranian ITSecTeam security company. Havij has been used by penetration testers and adversaries.
S0391,HAWKBALL,,HAWKBALL is a backdoor that was observed in targeting of the government sector in Central Asia.
S0071,hcdLoader,,hcdLoader is a remote access tool (RAT) that has been used by APT18.
S0061,HDoor,Custom HDoor,HDoor is malware that has been customized and used by the Naikon group.
S0617,HELLOKITTY,,"HELLOKITTY is a ransomware written in C++  that shares similar code structure and functionality with DEATHRANSOM and FIVEHANDS. HELLOKITTY has been used since at least 2020, targets have included a Polish video game developer and a Brazilian electric power company."
S0170,Helminth,,"Helminth is a backdoor that has at least two variants - one written in VBScript and PowerShell that is delivered via a macros in Excel spreadsheets, and one that is a standalone Windows executable."
S0544,HenBox,,"HenBox is Android malware that attempts to only execute on Xiaomi devices running the MIUI operating system. HenBox has primarily been used to target Uyghurs, a minority Turkic ethnic group."
S0697,HermeticWiper,"Trojan.Killdisk, DriveSlayer","HermeticWiper is a data wiper that has been used since at least early 2022, primarily against Ukraine with additional activity observed in Latvia and Lithuania. Some sectors targeted include government, financial, defense, aviation, and IT services."
S0698,HermeticWizard,,HermeticWizard is a worm that has been used to spread HermeticWiper in attacks against organizations in Ukraine since at least 2022.
S1027,Heyoka Backdoor,,Heyoka Backdoor is a custom backdoor--based on the Heyoka open source exfiltration tool--that  has been used by Aoqin Dragon since at least 2013.
S0087,Hi-Zor,,Hi-Zor is a remote access tool (RAT) that has characteristics similar to Sakula. It was used in a campaign named INOCNATION.
S0394,HiddenWasp,,HiddenWasp is a Linux-based Trojan used to target systems for remote control. It comes in the form of a statically linked ELF binary with stdlibc++.
S0135,HIDEDRV,,HIDEDRV is a rootkit used by APT28. It has been deployed along with Downdelph to execute and hide that malware.
S0009,Hikit,,Hikit is malware that has been used by Axiom for late-stage persistence and exfiltration after the initial compromise.
S0601,Hildegard,,Hildegard is malware that targets misconfigured kubelets for initial access and runs cryptocurrency miner operations. The malware was first observed in January 2021. The TeamTNT activity group is believed to be behind Hildegard.
S0232,HOMEFRY,,HOMEFRY is a 64-bit Windows password dumper/cracker that has previously been used in conjunction with other Leviathan backdoors.
S0376,HOPLIGHT,,HOPLIGHT is a backdoor Trojan that has reportedly been used by the North Korean government.
S0431,HotCroissant,,"HotCroissant is a remote access trojan (RAT) attributed by U.S. government entities to malicious North Korean government cyber activity, tracked collectively as HIDDEN COBRA. HotCroissant shares numerous code similarities with Rifdoor."
S0040,HTRAN,HUC Packet Transmit Tool,HTRAN is a tool that proxies connections through intermediate hops and aids users in disguising their true geographical location. It can be used by adversaries to hide their location when interacting with the victim networks.
S0070,HTTPBrowser,"Token Control, HttpDump",HTTPBrowser is malware that has been used by several threat groups.   It is believed to be of Chinese origin.
S0068,httpclient,,"httpclient is malware used by Putter Panda. It is a simple tool that provides a limited range of functionality, suggesting it is likely used as a second-stage or supplementary/backup tool."
S0322,HummingBad,,"HummingBad is a family of Android malware that generates fraudulent advertising revenue and has the ability to obtain root access on older, vulnerable versions of Android."
S0321,HummingWhale,,HummingWhale is an Android malware family that performs ad fraud.
S0203,Hydraq,"Roarur, MdmBot, HomeUnix, Homux, HidraQ, HydraQ, McRat, Aurora, 9002 RAT","Hydraq is a data-theft trojan first used by Elderwood in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including APT17."
S0398,HyperBro,,HyperBro is a custom in-memory backdoor used by Threat Group-3390.
S0537,HyperStack,,HyperStack is a RPC-based backdoor used by Turla since at least 2018. HyperStack has similarities to other backdoors used by Turla including Carbon.
S1022,IceApple,,"IceApple is a modular Internet Information Services (IIS) post-exploitation framework, that has been used since at least 2021 against the technology, academic, and government sectors."
S0483,IcedID,,IcedID is a modular banking malware designed to steal financial information that has been observed in the wild since at least 2017.  IcedID  has been downloaded by Emotet in multiple campaigns.
S0101,ifconfig,,ifconfig is a Unix-based utility used to gather information about and interact with the TCP/IP settings on a system.
S0278,iKitten,OSX/MacDownloader,iKitten is a macOS exfiltration agent  .
S0434,Imminent Monitor,,"Imminent Monitor was a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the Imminent Monitor infrastructure. Various cracked versions and variations of this RAT are still in circulation."
S0357,Impacket,,"Impacket is an open source collection of modules written in Python for programmatically constructing and manipulating network protocols. Impacket contains several tools for remote service execution, Kerberos manipulation, Windows credential dumping, packet sniffing, and relay attacks."
S1045,INCONTROLLER,PIPEDREAM,"INCONTROLLER is custom malware that includes multiple modules tailored towards ICS devices and technologies, including Schneider Electric and Omron PLCs as well as OPC UA, Modbus, and CODESYS protocols. INCONTROLLER has the ability to discover specific devices, download logic on the devices, and exploit platform-specific vulnerabilities. As of September 2022, some security researchers assessed INCONTROLLER was developed by CHERNOVITE."
S0604,Industroyer,"CRASHOVERRIDE, Win32/Industroyer","Industroyer is a sophisticated malware framework designed to cause an impact to the working processes of Industrial Control Systems (ICS), specifically components used in electrical substations. Industroyer was used in the attacks on the Ukrainian power grid in December 2016. This is the first publicly known malware specifically designed to target and impact operations in the electric grid."
S1072,Industroyer2,,"Industroyer2 is a compiled and static piece of malware that has the ability to communicate over the IEC-104 protocol. It is similar to the IEC-104 module found in Industroyer. Security researchers assess that Industroyer2 was designed to cause impact to high-voltage electrical substations. The initial Industroyer2 sample was compiled on 03/23/2022 and scheduled to execute on 04/08/2022, however it was discovered before deploying, resulting in no impact."
S0259,InnaputRAT,,InnaputRAT is a remote access tool that can exfiltrate files from a victim’s machine. InnaputRAT has been seen out in the wild since 2016.
S0463,INSOMNIA,,INSOMNIA is spyware that has been used by the group Evil Eye.
S0260,InvisiMole,,InvisiMole is a modular spyware program that has been used by the InvisiMole Group since at least 2013. InvisiMole has two backdoor modules called RC2FM and RC2CL that are used to perform post-exploitation activities. It has been discovered on compromised victims in the Ukraine and Russia. Gamaredon Group infrastructure has been used to download and execute InvisiMole against a small number of victims.
S0231,Invoke-PSImage,,"Invoke-PSImage takes a PowerShell script and embeds the bytes of the script into the pixels of a PNG image. It generates a one liner for executing either from a file of from the web. Example of usage is embedding the PowerShell code from the Invoke-Mimikatz module and embed it into an image file. By calling the image file from a macro for example, the macro will download the picture and execute the PowerShell code, which in this case will dump the passwords."
S0100,ipconfig,,"ipconfig is a Windows utility that can be used to find information about a system's TCP/IP, DNS, DHCP, and adapter configuration."
S0581,IronNetInjector,,IronNetInjector is a Turla toolchain that utilizes scripts from the open-source IronPython implementation of Python with a .NET injector to drop one or more payloads including ComRAT.
S0189,ISMInjector,,"ISMInjector is a Trojan used to install another OilRig backdoor, ISMAgent."
S0015,Ixeshe,,Ixeshe is a malware family that has been used since at least 2009 against targets in East Asia.
S0163,Janicab,,Janicab is an OS X trojan that relied on a valid developer ID and oblivious users to install it.
S0528,Javali,,"Javali is a banking trojan that has targeted Portuguese and Spanish-speaking countries since 2017, primarily focusing on customers of financial institutions in Brazil and Mexico."
S0389,JCry,,JCry is ransomware written in Go. It was identified as apart of the #OpJerusalem 2019 campaign.
S0044,JHUHUGIT,"Trojan.Sofacy, Seduploader, JKEYSKW, Sednit, GAMEFISH, SofacyCarberp",JHUHUGIT is malware used by APT28. It is based on Carberp source code and serves as reconnaissance malware.
S0201,JPIN,,JPIN is a custom-built backdoor family used by PLATINUM. Evidence suggests developers of JPIN and Dipsind code bases were related in some way.
S0283,jRAT,"JSocket, AlienSpy, Frutas, Sockrat, Unrecom, jFrutas, Adwind, jBiFrost, Trojan.Maljava","jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012. Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
S0648,JSS Loader,,JSS Loader is Remote Access Trojan (RAT) with .NET and C++ variants that has been used by FIN7 since at least 2020.
S0325,Judy,,Judy is auto-clicking adware that was distributed through multiple apps in the Google Play Store.
S0215,KARAE,,KARAE is a backdoor typically used by APT37 as first-stage malware.
S0088,Kasidet,,Kasidet is a backdoor that has been dropped by using malicious VBA macros.
S0265,Kazuar,,"Kazuar is a fully featured, multi-platform backdoor Trojan written using the Microsoft .NET framework."
S0585,Kerrdown,,Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.
S0487,Kessel,,"Kessel is an advanced version of OpenSSH which acts as a custom backdoor, mainly acting to steal credentials and function as a bot. Kessel has been active since its C2 domain began resolving in August 2018."
S1020,Kevin,,"Kevin is a backdoor implant written in C++ that has been used by HEXANE since at least June 2020, including in operations against organizations in Tunisia."
S0387,KeyBoy,,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
S0276,Keydnap,OSX/Keydnap,This piece of malware steals the content of the user's keychain while maintaining a permanent backdoor  .
S0271,KEYMARBLE,,KEYMARBLE is a Trojan that has reportedly been used by the North Korean government.
S1051,KEYPLUG,KEYPLUG.LINUX,"KEYPLUG is a modular backdoor written in C++, with Windows and Linux variants, that has been used by APT41 since at least June 2021."
S0288,KeyRaider,,KeyRaider is malware that steals Apple account credentials and other data from jailbroken iOS devices. It also has ransomware functionality.
S0526,KGH_SPY,,"KGH_SPY is a modular suite of tools used by Kimsuky for reconnaissance, information stealing, and backdoor capabilities. KGH_SPY derived its name from PDB paths and internal names found in samples containing ""KGH""."
S0607,KillDisk,"Win32/KillDisk.NBI, Win32/KillDisk.NBH, Win32/KillDisk.NBD, Win32/KillDisk.NBC, Win32/KillDisk.NBB",KillDisk is a disk-wiping tool designed to overwrite files with random data to render the OS unbootable. It was first observed as a component of BlackEnergy malware during cyber attacks against Ukraine in 2015. KillDisk has since evolved into stand-alone malware used by a variety of threat actors against additional targets in Europe and Latin America; in 2016 a ransomware component was also incorporated into some KillDisk variants.
S0599,Kinsing,,Kinsing is Golang-based malware that runs a cryptocurrency miner and attempts to spread itself to other hosts in the victim environment.
S0437,Kivars,,"Kivars is a modular remote access tool (RAT), derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
S0250,Koadic,,"Koadic is a Windows post-exploitation framework and penetration testing tool that is publicly available on GitHub. Koadic has several options for staging payloads and creating implants, and performs most of its operations using Windows Script Host."
S0641,Kobalos,,"Kobalos is a multi-platform backdoor that can be used against Linux, FreeBSD, and Solaris. Kobalos has been deployed against high profile targets, including high-performance computers, academic servers, an endpoint security vendor, and a large internet service provider; it has been found in Europe, North America, and Asia. Kobalos was first identified in late 2019."
S0669,KOCTOPUS,,"KOCTOPUS's batch variant is loader used by LazyScripter since 2018 to launch Octopus and Koadic and, in some cases, QuasarRAT. KOCTOPUS also has a VBA variant that has the same functionality as the batch version."
S0162,Komplex,,Komplex is a backdoor that has been used by APT28 on OS X and appears to be developed in a similar manner to XAgentOSX  .
S0156,KOMPROGO,,"KOMPROGO is a signature backdoor used by APT32 that is capable of process, file, and registry management."
S0356,KONNI,,"KONNI is a remote access tool that security researchers assess has been used by North Korean cyber actors since at least 2014. KONNI has significant code overlap with the NOKKI malware family, and has been linked to several suspected North Korean campaigns targeting political organizations in Russia, East Asia, Europe and the Middle East; there is some evidence potentially linking KONNI to APT37."
S0236,Kwampirs,,Kwampirs is a backdoor Trojan used by Orangeworm. It has been found on machines which had software installed for the use and control of high-tech imaging devices such as X-Ray and MRI machines.
S0349,LaZagne,,"LaZagne is a post-exploitation, open-source tool used to recover stored passwords on a system. It has modules for Windows, Linux, and OSX, but is mainly focused on Windows systems. LaZagne is publicly available on GitHub."
S0395,LightNeuron,,LightNeuron is a sophisticated backdoor that has targeted Microsoft Exchange servers since at least 2014. LightNeuron has been used by Turla to target diplomatic and foreign affairs-related organizations. The presence of certain strings in the malware suggests a Linux variant of LightNeuron exists.
S0211,Linfo,,Linfo is a rootkit trojan used by Elderwood to open a backdoor on compromised hosts.
S0362,Linux Rabbit,,Linux Rabbit is malware that targeted Linux servers and IoT devices in a campaign lasting from August to October 2018. It shares code with another strain of malware known as Rabbot. The goal of the campaign was to install cryptocurrency miners onto the targeted servers and devices.
S0513,LiteDuke,,"LiteDuke is a third stage backdoor that was used by APT29, primarily in 2014-2015. LiteDuke used the same dropper as PolyglotDuke, and was found on machines also compromised by MiniDuke."
S0680,LitePower,,LitePower is a downloader and second stage malware that has been used by WIRTE since at least 2021.
S0681,Lizar,Tirion,Lizar is a modular remote access tool written using the .NET Framework that shares structural similarities to Carbanak. It has likely been used by FIN7 since at least February 2021.
S0372,LockerGoga,,"LockerGoga is ransomware that was first reported in January 2019, and has been tied to various attacks on European companies, including industrial and manufacturing firms."
S0397,LoJax,,LoJax is a UEFI rootkit used by APT28 to persist remote access software on targeted systems.
S0447,Lokibot,,"Lokibot is a widely distributed information stealer that was first reported in 2015. It is designed to steal sensitive information such as usernames, passwords, cryptocurrency wallets, and other credentials. Lokibot can also create a backdoor into infected systems to allow an attacker to install additional payloads."
S0582,LookBack,,LookBack is a remote access trojan written in C++ that was used against at least three US utility companies in July 2019. The TALONITE activity group has been observed using LookBack.
S0451,LoudMiner,,LoudMiner is a cryptocurrency miner which uses virtualization software to siphon system resources. The miner has been bundled with pirated copies of Virtual Studio Technology (VST) for Windows and macOS.
S0042,LOWBALL,,LOWBALL is malware used by admin@338. It was used in August 2015 in email messages targeting Hong Kong-based media organizations.
S0121,Lslsass,,Lslsass is a publicly-available tool that can dump active logon session password hashes from the lsass process.
S0532,Lucifer,,Lucifer is a crypto miner and DDoS hybrid malware that leverages well-known exploits to spread laterally on Windows platforms.
S0010,Lurid,Enfal,"Lurid is a malware family that has been used by several groups, including PittyTiger, in targeted attacks as far back as 2006."
S0409,Machete,Pyark,Machete is a cyber espionage toolset used by Machete. It is a Python-based backdoor targeting Windows machines that was first observed in 2010.
S1016,MacMa,"OSX.CDDS, DazzleSpy",MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer. MacMa has been observed in the wild since November 2021.
S1048,macOS.OSAMiner,,"macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015. macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event (AEVT) analysis tools."
S0282,MacSpy,,MacSpy is a malware-as-a-service offered on the darkweb  .
S1060,Mafalda,,Mafalda is a flexible interactive implant that has been used by Metador. Security researchers assess the Mafalda name may be inspired by an Argentinian cartoon character that has been popular as a means of political commentary since the 1960s.
S0413,MailSniper,,"MailSniper is a penetration testing tool for searching through email in a Microsoft Exchange environment for specific terms (passwords, insider intel, network architecture information, etc.). It can be used by a non-administrative user to search their own email, or by an Exchange administrator to search the mailboxes of every user in a domain."
